,原文,主题分布向量
9932,拍摄的人真稳,0.143 0.144 0.142 0.142 0.143 0.143 0.143
9933,……,0.143 0.143 0.143 0.143 0.143 0.143 0.143
9934,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
9935,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9936,致敬你们幸苦了,0.143 0.143 0.142 0.142 0.144 0.143 0.143
9937,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9938,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9939,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9940,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9941,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
9942,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9943,@平安叙永,0.071 0.071 0.071 0.071 0.071 0.071 0.571
9944,辛苦了向你们致敬[老师爱你],0.048 0.048 0.048 0.048 0.048 0.048 0.714
9945,致敬辛苦啦,0.082 0.081 0.081 0.081 0.081 0.511 0.081
9946,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9947,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9948,致敬负重前行不负责任的英雄,0.143 0.143 0.142 0.142 0.143 0.144 0.143
9949,还是得提高这些可爱的人的生活待遇,0.143 0.143 0.142 0.142 0.143 0.144 0.143
9950,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
9951,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9952,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9953,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9954,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
9955,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
9956,辛苦了致敬🫡,0.071 0.071 0.071 0.071 0.071 0.071 0.571
9957,致敬 辛苦了,0.048 0.048 0.381 0.381 0.048 0.048 0.048
9958,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
9959,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9960,守护边疆致敬最可爱的人,0.143 0.143 0.142 0.142 0.143 0.144 0.143
9961,辛苦辛苦致敬,0.143 0.143 0.142 0.142 0.143 0.144 0.143
9962,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9963,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9964,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9965,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9966,愿所有人平安致敬🫡,0.143 0.143 0.142 0.142 0.143 0.144 0.143
9967,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9968,致敬最可爱的人,0.071 0.071 0.071 0.071 0.071 0.071 0.571
9969,哇真的太不容易了,0.143 0.143 0.142 0.142 0.143 0.143 0.143
9970,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9971,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9972,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9973,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
9974,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9975,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9976,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9977,辛苦了[贊],0.071 0.071 0.571 0.071 0.071 0.071 0.071
9978,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9979,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9980,辛苦了致敬英雄,0.146 0.142 0.136 0.138 0.140 0.157 0.142
9981,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9982,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9983,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9984,感谢边境警察替我们负重前行 为祖国创造美好生活,0.048 0.048 0.048 0.048 0.048 0.048 0.714
9985,辛苦啦致敬,0.150 0.142 0.137 0.139 0.141 0.149 0.142
9986,致敬🫡 平平安安,0.048 0.048 0.048 0.714 0.048 0.048 0.048
9987,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9988,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9989,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9990,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
9991,感谢负重前行的你们🫡,0.143 0.144 0.142 0.142 0.144 0.143 0.143
9992,致敬奋斗在一线为民做实事的人民警察,0.143 0.144 0.142 0.142 0.143 0.143 0.143
9993,好心疼,0.143 0.143 0.142 0.142 0.143 0.144 0.143
9994,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
9995,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9996,无人问津的日子里我在努力🆙,0.143 0.144 0.142 0.142 0.143 0.144 0.143
9997,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
9998,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
9999,真的辛苦了致敬,0.143 0.143 0.142 0.142 0.143 0.144 0.143
10000,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10001,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10002,致敬你们辛苦了,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10003,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10004,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10005,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10006,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10007,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10008,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10009,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10010,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10011,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10012,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10013,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10014,向最可爱 最伟大的人致敬,0.048 0.048 0.048 0.048 0.714 0.048 0.048
10015,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10016,致敬你们辛苦了,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10017,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10018,辛苦啦向你们致敬,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10019,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10020,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10021,致敬 你们辛苦啦,0.048 0.048 0.048 0.714 0.048 0.048 0.048
10022,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10023,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10024,好大的风,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10025,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10026,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10027,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10028,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10029,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10030,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10031,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10032,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10033,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10034,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10035,你好,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10036,致敬英雄辛苦了!,0.083 0.083 0.082 0.082 0.083 0.505 0.083
10037,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10038,致敬最可爱的人,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10039,辛苦了向你们致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10040,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10041,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10042,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10043,最可爱的人,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10044,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10045,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10046,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10047,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10048,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10049,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10050,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10051,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10052,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10053,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10054,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10055,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10056,致敬你们辛苦了,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10057,致敬🫡真的太辛苦了有你們真的太了不起了,0.048 0.048 0.048 0.714 0.048 0.048 0.048
10058,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10059,辛苦致敬负重前行的你们,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10060,你们辛苦了向你们致敬,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10061,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10062,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10063,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10064,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10065,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10066,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10067,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10068,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10069,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10070,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10071,致敬最可爱的人辛苦了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10072,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10073,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10074,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10075,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10076,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10077,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10078,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10079,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10080,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10081,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10082,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10083,这几天真的很冷辛苦了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10084,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10085,#新疆移民管理警察顶风踏雪巡边#🌬️辛苦了 致敬~🙏,0.036 0.036 0.536 0.286 0.036 0.036 0.036
10086,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10087,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10088,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10089,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10090,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10091,致敬战士们辛苦了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10092,五星红旗格外鲜艳向人民警察致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10093,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10094,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10095,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10096,辛苦了向你们致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10097,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10098,战士们辛苦了,0.143 0.144 0.141 0.142 0.143 0.145 0.143
10099,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10100,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10101,致敬辛苦啦真的对他们好点吧,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10102,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10103,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10104,辛苦了 致敬,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10105,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10106,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10107,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10108,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10109,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10110,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10111,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10112,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10113,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10114,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10115,辛苦了致敬守护,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10116,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10117,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10118,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10119,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10120,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10121,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10122,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10123,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10124,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10125,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10126,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10127,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10128,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10129,我们一直守护着您,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10130,我们的英雄,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10131,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10132,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10133,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10134,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10135,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10136,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10137,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10138,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10139,转发微博,0.071 0.071 0.071 0.071 0.571 0.071 0.071
10140,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10141,先把旗卷起来走不行吗,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10142,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10143,谁来改进一下行路装备鞋子能够更好的在砂地风大的地方行走,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10144,辛苦了太心疼你们了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10145,这摄影师技术真不错 镜头真稳,0.048 0.048 0.048 0.048 0.048 0.714 0.048
10146,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10147,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10148,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10149,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10150,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10151,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10152,致敬英雄辛苦了,0.141 0.143 0.136 0.138 0.141 0.161 0.140
10153,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10154,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10155,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10156,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10157,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10158,平安的背后是不平安致敬,0.143 0.143 0.141 0.142 0.143 0.146 0.143
10159,致敬辛苦了你们了不起,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10160,这在巡逻时必须都得举旗吗不明白,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10161,好儿郎,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10162,辛苦了 向您们致敬🫡,0.048 0.048 0.381 0.381 0.048 0.048 0.048
10163,致敬🫡,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10164,致敬最佩服摄影师这么大的风能做到镜头不晃动太不容易了还有地面的小草也很顽强,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10165,向战士们致敬,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10166,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10167,把热辣麻辣烫的宣传撤掉这才是应该让大家记住的画面,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10168,感恩有你们辛苦了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10169,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10170,敬礼,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10171,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10172,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10173,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10174,哪有什么岁月静好只不过有人在替我们负重前行,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10175,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10176,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10177,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10178,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10179,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10180,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10181,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10182,好辛苦,0.076 0.076 0.076 0.076 0.076 0.545 0.076
10183,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10184,辛苦了#新疆移民管理警察顶风踏雪巡边#,0.048 0.048 0.714 0.048 0.048 0.048 0.048
10185,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10186,真的了不起,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10187,感恩负重前行逆行的人像你们致敬,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10188,@平安叙永,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10189,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10190,辛苦了致敬英雄,0.082 0.082 0.082 0.082 0.082 0.509 0.082
10191,感谢有您们最亲爱的人,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10192,逆风而行,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10193,感恩有你,0.082 0.082 0.082 0.082 0.082 0.506 0.082
10194,辛苦致敬,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10195,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10196,致敬了不起你们都是英雄,0.143 0.144 0.141 0.142 0.143 0.145 0.143
10197,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10198,再说一遍:没有您们这个称呼您只能单用,0.048 0.048 0.048 0.048 0.048 0.714 0.048
10199,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10200,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10201,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10202,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10203,你扛着旗走旗子在那飘当然不好走啦为什么不把旗子折起来走到了地方在把棍子传进去装好就行了呀,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10204,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10205,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10206,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10207,多保重,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10208,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10209,为啥不给配个交通工具,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10210,辛苦了向您们致敬,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10211,致敬这环境的摆拍的更不容易吧,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10212,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10213,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10214,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10215,哪有什么岁月静好不过是有人替我们负重前行向守卫国家边境的移民管理警察致敬,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10216,还是摄影师稳,0.143 0.144 0.141 0.142 0.143 0.145 0.143
10217,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10218,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10219,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10220,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10221,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10222,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10223,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10224,为啥只报道男的啊为啥不报道女的为女性感到不值,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10225,辛苦了感谢致敬,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10226,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10227,10级大风人很难行走,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10228,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10229,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10230,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10231,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10232,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10233,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10234,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10235,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10236,致敬最可爱的人,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10237,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10238,巡逻还让他们打着旗这算不算是给基层加压力,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10239,致敬边防军人,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10240,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10241,向逆风而行的警察致敬,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10242,致敬人民警察,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10243,致敬我们的英雄,0.143 0.145 0.141 0.142 0.143 0.144 0.143
10244,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10245,大风天气巡查多注意安全防止发生意外,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10246,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10247,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10248,致敬你们辛苦了,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10249,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10250,能否用直升机或者其他机械设备,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10251,敬礼,0.071 0.071 0.071 0.071 0.071 0.571 0.071
10252,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10253,辛苦,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10254,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10255,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10256,为他们致敬,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10257,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10258,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10259,致敬辛苦了,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10260,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10261,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10262,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10263,,0.143 0.143 0.143 0.143 0.143 0.143 0.143
10264,致敬最可爱的人,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10265,致敬~,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10266,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10267,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10268,辛苦了致敬,0.071 0.071 0.071 0.071 0.071 0.071 0.571
10269,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10270,人民警察为人民致敬,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10271,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10272,感恩有你们致敬英雄,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10273,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10274,辛苦你们了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10275,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10276,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10277,致敬英雄后人铭记在心,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10278,致敬英雄,0.071 0.571 0.071 0.071 0.071 0.071 0.071
10279,辛苦啦,0.571 0.071 0.071 0.071 0.071 0.071 0.071
10280,辛苦了向英雄致敬,0.143 0.144 0.141 0.142 0.143 0.144 0.143
10281,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10282,辛苦了,0.071 0.071 0.571 0.071 0.071 0.071 0.071
10283,建议向摄影师学学多稳辛苦了,0.143 0.144 0.141 0.142 0.144 0.144 0.143
10284,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10285,致敬,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10286,太不容易了,0.071 0.071 0.071 0.571 0.071 0.071 0.071
10287,👍🏻👍🏻👍🏻,0.143 0.143 0.143 0.143 0.143 0.143 0.143
