,原文,主题分布向量
159,这个行为挺文明的是吧,0.072 0.072 0.072 0.072 0.072 0.571 0.072
160,限制出行限制子女考公考编,0.072 0.072 0.570 0.072 0.072 0.072 0.072
161,三个打一个说不是黑社会都不信,0.571 0.072 0.072 0.072 0.072 0.072 0.072
162,@中国铁路 这怎么说,0.048 0.048 0.048 0.378 0.048 0.048 0.383
163,然后万一还手就变成互殴不还手就这样被活活打10分钟没人管真是讽刺,0.571 0.072 0.072 0.072 0.072 0.072 0.072
164,一天天的早晚在网上被活活气死,0.072 0.072 0.570 0.072 0.072 0.072 0.072
165,疯子,0.072 0.072 0.072 0.571 0.072 0.072 0.072
166,是不是因为不是化妆所以10分钟才有人管呀,0.072 0.571 0.072 0.072 0.072 0.072 0.072
167,//@莲花二枝荷叶三个: 可能在忙着给盒饭贴新价签吧//@快藏起来啦_:我也很好奇我记得列车工作人员应该蛮多的不至于十分钟还到达不了现场吧//@我还叫波猪的海:这高铁上的工作人员哪去了十分钟这不比高铁上化妆严重,0.020 0.020 0.020 0.020 0.020 0.877 0.020
168,刚则吐之柔则茹之,0.072 0.072 0.072 0.072 0.072 0.072 0.571
169,乘警在哪干吃饭不做事,0.072 0.072 0.072 0.072 0.072 0.571 0.072
170,//@帝国刘怼王脾气很大:太嚣张了吧 这种人就该好好治治,0.036 0.036 0.785 0.036 0.036 0.036 0.036
171,所以这个行为什么时候出宣传片呢就针对高铁化妆的女生这种男的你是管都不管一下啊,0.072 0.072 0.072 0.072 0.072 0.072 0.571
172,警察来了 给判个互殴,0.048 0.714 0.048 0.048 0.048 0.048 0.048
173,文明的社会出现这样不可理解的事施暴者要好好处理下,0.072 0.072 0.072 0.571 0.072 0.072 0.072
174,没人管才是最可怕的,0.072 0.072 0.072 0.072 0.072 0.072 0.571
175,十有八九最后是互殴,0.072 0.072 0.072 0.571 0.072 0.072 0.072
176,简直气死人了这种人这辈子都不要让乘坐交通工具了,0.072 0.571 0.072 0.072 0.072 0.072 0.072
177,//@你好叻啊十仔:三个人及以上可以定性为黑社会团伙性质了吧,0.714 0.048 0.048 0.048 0.048 0.048 0.048
178,有回击的动作定性~互殴~~,0.048 0.048 0.714 0.048 0.048 0.048 0.048
179,好恐怖啊,0.072 0.072 0.072 0.072 0.072 0.072 0.571
180,跋扈惯了,0.571 0.072 0.072 0.072 0.072 0.072 0.072
