微博id,评论页码,评论id,评论时间,评论者赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4.95E+15,7,4.95E+15,2023/9/16 14:49,0,来自山东,大大头熊,6096186582,男,561,60,河北！！！
4.95E+15,7,4.95E+15,2023/9/16 14:47,0,来自河北,抓耗子的黑猫警长,6298558869,女,583,40,拘留
4.95E+15,7,4.95E+15,2023/9/16 14:43,0,来自河南,归德城,1050630274,男,954,13.8万,这种人霸道惯了。
4.95E+15,7,4.95E+15,2023/9/16 14:42,0,来自江苏,小乖乖汪汪汪,6443334766,男,347,51,再不严惩的话，谁还敢坐高铁了？安全感在哪里？
4.95E+15,7,4.95E+15,2023/9/16 14:38,0,来自湖北,呼啦啦拉拉啦啦,2416197504,男,269,150,怎么都盯着工作人员怎么不来。。你们怎么不说旁边那群麻木的人怎么不帮忙，报警也要等时间啊。。
4.95E+15,7,4.95E+15,2023/9/16 14:37,0,来自四川,hmsyyyyyyyyyyyyyyjay,6602177155,女,5158,55,书无店砸//@得到了想得到的 :不对不对，化妆比占座打人危害大
4.95E+15,7,4.95E+15,2023/9/16 14:35,3,来自广西,我是你的超级英雄吗,5446548264,男,175,340,感觉坐绿皮的就没那么多事，每次看到的新闻都是发生在高铁上
4.95E+15,7,4.95E+15,2023/9/16 14:28,0,来自山东,Sandra-de-Borbon,3383355820,女,1672,468,故意伤害
4.95E+15,7,4.95E+15,2023/9/16 14:25,3,来自吉林,小树叶爱喝水,6310161773,女,683,1万,十分钟？高铁上的工作人员呢？几个人群殴一个女生，脸呢
4.95E+15,7,4.95E+15,2023/9/16 14:24,3,来自山东,哇趣你爹的,6075377373,女,220,10,这哪有在高铁上化妆严重啊！
4.95E+15,7,4.95E+15,2023/9/16 14:20,1,来自天津,Grander蝈蝈,1854166501,男,5159,496,哎哎
4.95E+15,7,4.95E+15,2023/9/16 14:17,0,来自江苏,teacher2356,5725089297,男,4297,11,wjejdjdkdj
4.95E+15,7,4.95E+15,2023/9/16 14:17,0,来自江苏,teacher2356,5725089297,男,4297,11,wujwdjdjdjr
4.95E+15,7,4.95E+15,2023/9/16 14:10,0,来自黑龙江,Lplusw,2501196793,女,726,144,这几个人能进去改造不
4.95E+15,8,4.95E+15,2023/9/16 14:10,0,来自云南,老臭要养大狗狗,1628453482,女,2898,343,有后续在发吧，这种看着生气，希望这几个打人的受到法律制裁
4.95E+15,8,4.95E+15,2023/9/16 14:09,0,来自广东,RoseCheung-,1785085925,女,550,2292,这年头神经病太多了
4.95E+15,8,4.95E+15,2023/9/16 14:07,0,来自江苏,蛰伏的狼,1680201534,男,716,887,全家恶人 拘留 进黑名单。
4.95E+15,8,4.95E+15,2023/9/16 14:07,1,来自广东,日暮落花微雨,2181323163,女,534,284,啥也别说了，刑拘！
4.95E+15,8,4.95E+15,2023/9/16 14:05,3,来自河南,羊饱ovo_,6128641936,女,390,3947,弄错了一定是散粉打的她
